tile_name,category,wsi_base,size_match,size_diff,ssim,correlation,mse,psnr,mean_abs_diff,max_abs_diff,pseudo_mean,pseudo_std,ecm_mean,ecm_std
12.12 Beef Shoulder 2_grid_5x5_r2_c1.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.07053424455214048,0.04167822126149427,1802.0859573809971,15.573048583947253,24.874454370405413,255.0,235.73815120718527,29.57627647161003,234.99917337538662,31.700756035868242
12.12 Beef Shoulder 2_grid_5x5_r4_c6.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.13420962349720808,0.0,3816.2509615803697,12.314434341320414,44.623180238660794,236.0,210.3768197613392,42.72028495888526,255.0,0.0
12.12 Beef Shoulder 2_grid_5x5_r3_c5.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.0016110522234642863,-0.02159302184360183,3783.0491509894664,12.352383769992116,47.85467781509816,255.0,198.9692082650541,44.59433505918916,220.81741630749508,35.34103289642745
12.12 Beef Shoulder 2_grid_5x5_r3_c3.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.033002394568196626,0.013671003879356027,5405.7638471051405,10.802232914140596,56.14367372482977,255.0,192.71842610526483,50.64696468514467,222.40893321399182,44.959787065971426
12.12 Beef Shoulder 2_grid_5x5_r0_c6.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.10448292635757463,0.0,2237.335754399975,14.6334919780776,25.954309560286642,255.0,229.04569043971335,39.5437677725427,255.0,0.0
12.12 Beef Shoulder 2_grid_5x5_r1_c2.jpg,perfect_match,12.12 Beef Shoulder 2,True,match,0.32333021315281163,0.3169285401657008,1940.3435837833038,15.25201722005097,24.305292224610696,255.0,228.30070199624578,38.8169348119782,235.56888321882,35.369632278426344
2nd Meat_grid_5x5_r0_c1.jpg,perfect_match,2nd Meat,True,match,0.7504763093471772,0.637979806442688,1492.7492228155288,16.39093507124972,29.371440747850134,226.0,197.4328964913774,48.95241893232362,196.2982693095941,39.62567239057422
2nd Meat_grid_5x5_r2_c1.jpg,perfect_match,2nd Meat,True,match,0.743421353332387,0.5239882689336542,1821.4174465576018,15.526708686920994,33.87330113387776,205.0,190.0824926076202,48.506549892820544,185.713979367225,35.18748675917526
2nd Meat_grid_5x5_r2_c0.jpg,perfect_match,2nd Meat,True,match,0.7449825600107157,0.5747098238166243,1621.1004433803914,16.032704363004502,31.447563691703827,218.0,195.117562540355,47.615574067150035,191.99216514936037,37.00568944128472
2nd Meat_grid_5x5_r0_c0.jpg,perfect_match,2nd Meat,True,match,0.7512901244677089,0.6498882200657748,1469.6441928189042,16.458681579560995,28.713596070112743,207.0,198.9313025861195,49.14380167903102,197.33614626735985,40.42448778110898
2nd Meat_grid_5x5_r1_c0.jpg,perfect_match,2nd Meat,True,match,0.7477322896361445,0.5677138511863059,1415.574402775896,16.621476599920694,30.04912399604905,215.0,198.55826463823897,44.58185333396655,196.94285095706226,33.43413798777084
2nd Meat_grid_5x5_r1_c1.jpg,perfect_match,2nd Meat,True,match,0.7460286994452581,0.5160662538432358,1514.5965734672454,16.327833909000812,31.87233171580112,206.0,195.0274757192848,44.42249136764102,193.18784472418704,30.88785427893795
"4th Meat, 400 g, 3 wts_grid_5x5_r0_c2.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7476513677724088,0.6384777908168107,1009.3251465503596,18.090492673709207,24.849521954462716,190.0,208.8845824737977,40.61440546110771,209.42109273857574,31.58335697702258
"4th Meat, 400 g, 3 wts_grid_5x5_r1_c0.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.749362699458722,0.5332039324659922,1187.693759402657,17.383758863393876,28.633910620141187,186.0,201.90253028307117,40.11355264452038,201.6935263404709,27.39117271081882
"4th Meat, 400 g, 3 wts_grid_5x5_r3_c1.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7559345093758095,0.5447569876890658,949.8009352979649,18.35447767958671,25.812133946076784,173.0,208.37338841734197,36.419349286515384,208.86685458392876,23.938709784430458
"4th Meat, 400 g, 3 wts_grid_5x5_r1_c1.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7520455075346387,0.5954126274092456,727.7730716025767,19.510843786899198,22.187115411361663,198.0,215.29572767842558,33.20059906490469,217.01339963069762,23.417567023141885
"4th Meat, 400 g, 3 wts_grid_5x5_r3_c0.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7608387348909268,0.5225749823720405,893.7434467593733,18.618674904466634,25.607283771257876,161.0,208.6183391354322,34.78008510924366,210.15361170155577,21.649399483321936
"4th Meat, 400 g, 3 wts_grid_5x5_r0_c0.jpg",perfect_match,"4th Meat, 400 g, 3 wts",True,match,0.7490251642837557,0.5536792368114463,1057.248794968361,17.889031620491046,26.93418208038838,199.0,205.6237849096348,38.570263081007184,205.98393656715072,26.406649830362518
"5th meat, 400g, placeholder and black plate_grid_5x5_r3_c1.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7563564305752436,0.7375435275202277,478.97244174706316,21.32769834387549,14.407203481696815,212.0,227.13599211280987,31.55488590133186,226.86385586231475,28.255554011752075
"5th meat, 400g, placeholder and black plate_grid_5x5_r0_c2.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7616671239820415,0.6350832512829916,893.0044319917067,18.622267465652925,21.99169177501702,204.0,211.1799121073025,37.242426260262455,208.44132739133462,31.262909882950076
"5th meat, 400g, placeholder and black plate_grid_5x5_r3_c0.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7521474220424532,0.6955802928536949,405.2042746290477,22.05406342644585,14.329939874198143,189.0,227.9516030426932,27.32630735465221,228.1601290063026,23.448826462165584
"5th meat, 400g, placeholder and black plate_grid_5x5_r2_c0.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.7538241003364945,0.6597755052710017,438.0687376300188,21.715380996076078,15.647284856308545,160.0,225.38125221892497,27.312973714928912,225.4363275090907,22.119590192485123
"5th meat, 400g, placeholder and black plate_grid_5x5_r3_c2.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.9868021942008381,0.2913673788194446,8.05279697837712,39.071336107736165,2.5903871908053913,20.0,251.4990074207375,1.189257087308817,254.08799224571237,0.5825018514103183
"5th meat, 400g, placeholder and black plate_grid_5x5_r1_c2.jpg",perfect_match,"5th meat, 400g, placeholder and black plate",True,match,0.742732255516067,0.5804126574151518,1278.0628471439277,17.065281506318186,26.611368089728796,198.0,200.49430644235574,41.678273916828694,195.74038126351272,34.367510018909826
MeatLarge_grid_5x5_r2_c1.jpg,perfect_match,MeatLarge,True,match,0.8003372591121632,0.8438586465316248,109.4221592665965,27.73975080253592,5.468895139436468,164.0,246.25071480725393,18.789832842454093,248.99746696318843,15.37507471848679
MeatLarge_grid_5x5_r0_c2.jpg,perfect_match,MeatLarge,True,match,0.7629725752741182,0.5104336776854619,1265.2646620429732,17.108989821998993,30.464845849671924,221.0,197.6057810338047,40.93940424894736,198.69335003747221,25.869315202625792
MeatLarge_grid_5x5_r0_c1.jpg,perfect_match,MeatLarge,True,match,0.7969852258181828,0.6088459581112176,1088.2073801113943,17.76368693947183,27.76506626028212,237.0,201.36412827355988,41.11625741107364,204.60214712967795,28.755088749552332
MeatLarge_grid_5x5_r1_c2.jpg,perfect_match,MeatLarge,True,match,0.7853811146004261,0.6501668129320207,1440.9109880191547,16.544432076778676,30.045448333049183,226.0,194.8305617355591,49.36800259433513,195.07976672145423,37.91934903112839
MeatLarge_grid_5x5_r0_c0.jpg,perfect_match,MeatLarge,True,match,0.8273155729909797,0.8707970988606668,172.03063265694254,25.77474574371101,4.882924309496975,211.0,245.99029224457803,26.169445581956754,247.6634953792614,24.71096389372598
MeatLarge_grid_5x5_r2_c2.jpg,perfect_match,MeatLarge,True,match,0.8216876976605074,0.8466412713489887,56.17552184341297,30.63533245372436,3.3168731180301467,224.0,250.24154392122117,13.14894661659336,252.4903489169677,12.600378469599827
12.12 Beef Shoulder 3_grid_5x5_r6_c0.jpg,mismatch,12.12 Beef Shoulder 3,True,match,-0.02084707543458045,-0.035239225054589096,5596.133871289771,10.651922656866091,57.51628759606534,255.0,197.39586488695673,49.25731249919067,228.5102781414933,45.21905357060691
12.12 Beef Shoulder 3_grid_5x5_r2_c1.jpg,mismatch,12.12 Beef Shoulder 3,True,match,0.08383380607569117,0.026496212356648976,1324.9509207802953,16.90880569560415,27.230916517197,251.0,222.56089784009424,27.53522280159096,224.6226779655887,24.458122564458762
12.12 Beef Shoulder 3_grid_5x5_r0_c1.jpg,mismatch,12.12 Beef Shoulder 3,True,match,0.8616115558431581,0.23502835625821064,21.418898315166373,34.82283231811315,3.4031837174385524,94.0,249.74390828906894,3.3464163217541976,252.69210676521095,2.251804198908418
12.12 Beef Shoulder 3_grid_5x5_r6_c2.jpg,mismatch,12.12 Beef Shoulder 3,True,match,0.08265991507865357,0.03595388966431069,1924.250031354701,15.288188585597794,30.218718382571247,255.0,224.75321466753837,32.22812246260619,244.444225245535,23.50162015297564
3rd Meat_grid_5x5_r2_c1.jpg,mismatch,3rd Meat,True,match,0.7505853399614058,0.6678875617725756,796.3850282984143,19.119572739883065,20.51382965776856,222.0,215.91624116386166,36.68476827176785,214.97515410046097,31.57525854233479
3rd Meat_grid_5x5_r2_c0.jpg,mismatch,3rd Meat,True,match,0.7476996998212441,0.6452198333915373,905.2291414218903,18.56321834415304,22.000891835885994,199.0,212.92462392282732,38.02834475773886,210.83302646697814,32.069647666017126
3rd Meat_grid_5x5_r0_c0.jpg,mismatch,3rd Meat,True,match,0.7651538134856489,0.6939894460870145,790.6143990672288,19.15115641199314,20.01691332389675,206.0,216.20097177203166,37.78843290696123,215.27089370445648,33.2619920916979
3rd Meat_grid_5x5_r1_c0.jpg,mismatch,3rd Meat,True,match,0.7571541484375534,0.6360870602318357,616.246974785566,20.233255605699018,19.195604916176883,200.0,218.74239277683176,31.55780930498488,219.56089664280557,24.830369026516816
6 BEEF Shoulder -1_grid_5x5_r0_c2.jpg,mismatch,6 BEEF Shoulder -1,True,match,0.1678370341909412,0.02271829879796727,481.7025955018998,21.3030137448888,15.707507778397916,246.0,234.81432938577876,16.72749660269477,240.2933853726785,13.495576441881234
6 BEEF Shoulder -1_grid_5x5_r5_c4.jpg,mismatch,6 BEEF Shoulder -1,True,match,0.10473684258280487,0.16930729102159656,3789.8747689955453,12.344555013042601,37.82623824668507,255.0,216.3944265325258,49.247760462856526,254.0787972806059,4.603920602242321
6 BEEF Shoulder -1_grid_5x5_r0_c4.jpg,mismatch,6 BEEF Shoulder -1,True,match,0.9886922209539232,0.0,1.9926331923216525,45.13653000557831,1.1479364583415974,25.0,253.8520635416584,0.8215078088075642,255.0,0.0
6 BEEF Shoulder -1_grid_5x5_r4_c0.jpg,mismatch,6 BEEF Shoulder -1,True,match,0.2327146689569144,0.20463989541356323,2901.463487034272,13.504632512368115,36.65607677222144,255.0,211.14844329127405,42.724146051825215,215.45487982359455,42.418079513328436
B-1_grid_5x5_r4_c0.jpg,mismatch,B-1,True,match,0.04089462023507129,0.01425581258313508,2969.6681238007595,13.403724435559049,42.163121964066264,255.0,218.05579795709374,40.57294340665979,209.19719746399397,35.86811735316375
B-1_grid_5x5_r5_c2.jpg,mismatch,B-1,True,match,0.1957926057954392,0.2796359241814634,2391.7246720232256,14.34369177317099,29.467253820033957,255.0,224.838373935893,39.3667993917585,254.28552592381882,1.2089194671845853
B-1_grid_5x5_r4_c3.jpg,mismatch,B-1,True,match,-0.0006340555653532772,-0.03363698258681324,2289.6564076742857,14.533100450986463,36.982656684326784,255.0,215.2818277537129,34.205299797292,216.84017211861635,32.294155966550754
B-1_grid_5x5_r1_c0.jpg,mismatch,B-1,True,match,0.18025401197123403,0.16426877821159075,2929.04924402893,13.463536876396224,37.07819383846875,255.0,219.68864709637904,41.69111143792613,216.10366785143447,41.8478479851136
B. Shoulder 1.2_grid_5x5_r2_c6.jpg,mismatch,B. Shoulder 1.2,True,match,0.17925350496995407,0.0,2427.3983259578367,14.27939312771996,33.81465878412962,255.0,221.18534121587038,35.83248773488555,255.0,0.0
B. Shoulder 1.2_grid_5x5_r1_c4.jpg,mismatch,B. Shoulder 1.2,True,match,-0.041865386583181445,-0.06351602844479559,3465.701564602574,12.732891984584274,42.76620274245313,255.0,216.33485766196893,41.03635572096616,212.8996065791996,39.54459284886002
B. Shoulder 1.2_grid_5x5_r0_c5.jpg,mismatch,B. Shoulder 1.2,True,match,0.04502169468646045,0.006757938993398152,2565.5116736358627,14.039063657377016,36.2195208474756,255.0,215.36803549189995,38.24068307242868,230.09618546531487,30.02939082268778
B. Shoulder 1.2_grid_5x5_r4_c0.jpg,mismatch,B. Shoulder 1.2,True,match,0.036552909814683135,-0.029879631616301628,1379.3499806527159,16.7340588774361,27.560700066021276,252.0,225.2558621617926,29.64499620658751,231.8624679344325,20.50724416004064
B. Shoulder 1.3_grid_5x5_r3_c6.jpg,mismatch,B. Shoulder 1.3,True,match,0.8567614400121276,0.0,95.53416731809799,28.329216382485043,8.919551922129529,51.0,246.08044807787047,3.9969689549123832,255.0,0.0
B. Shoulder 1.3_grid_5x5_r4_c4.jpg,mismatch,B. Shoulder 1.3,True,match,0.900705088652245,0.0,68.09181590746807,29.799854445471524,7.556603699939427,42.0,247.44339630006058,3.315049988994105,255.0,0.0
B. Shoulder 1.3_grid_5x5_r4_c2.jpg,mismatch,B. Shoulder 1.3,True,match,0.91977871847083,0.0,57.67696012314525,30.520779981394405,6.981630075969599,35.0,248.0183699240304,2.988946571195608,255.0,0.0
B. Shoulder 1.3_grid_5x5_r2_c4.jpg,mismatch,B. Shoulder 1.3,True,match,0.3164636974845509,0.27551706944010923,613.48886497139,20.252736763238236,11.780470362398788,246.0,242.07698256516494,21.785590577819814,247.81341352750337,17.918589166807163
Beef Shoulder 4_grid_5x5_r0_c1.jpg,mismatch,Beef Shoulder 4,True,match,0.0016787282113374172,-0.05097637818544527,1525.0016249984687,16.2981005441298,28.12068212290526,255.0,225.64206837090313,28.12161009489662,228.74707910356392,25.52180690269975
Beef Shoulder 4_grid_5x5_r6_c2.jpg,mismatch,Beef Shoulder 4,True,match,0.2043878061685731,0.3913366463280093,2911.611904554587,13.48946874479298,36.546564400591016,255.0,217.4015167724241,40.864998298384336,253.92700994149558,3.2132658101457596
Beef Shoulder 4_grid_5x5_r3_c0.jpg,mismatch,Beef Shoulder 4,True,match,0.08252728550320032,0.05662386445606237,4242.29418603602,11.854795790678349,50.64142527300284,255.0,192.9028575369705,48.11483613062706,202.14010688177208,45.728547431230844
Meat_Dylan_grid_5x5_r0_c0.jpg,mismatch,Meat_Dylan,True,match,0.7457757155883579,0.5987516044711284,2461.4435152533524,14.21890486753548,36.20478403674756,247.0,181.53121044443475,58.09820401053309,173.10508429647888,49.790916616858034
Meat_Dylan_grid_5x5_r0_c1.jpg,mismatch,Meat_Dylan,True,match,0.7225466889723217,0.6240808210881117,2238.529122471976,14.631176120941214,34.42423395402819,245.0,187.39853986733473,55.88223289402795,182.43465983667144,52.405938694354866
Meat_Dylan_grid_5x5_r1_c0.jpg,mismatch,Meat_Dylan,True,match,0.7391754100739414,0.5956046158969066,2258.4343817194967,14.59272884111355,35.043862612234264,248.0,185.7309846125389,55.67534422470735,178.6289467524672,47.57817961719212
